sku,inRoqResult,isApendSku,inTip,inForecastNational,inVendorData
2338800,Y,N,Y,Y,Y
27252,Y,N,Y,Y,Y
316088,N,N,N,Y,N
37215,Y,N,Y,Y,Y
133758,N,N,N,Y,N
1763828,N,N,N,N,N
1768292,Y,N,Y,Y,Y
1782421,N,N,N,Y,N
2112946,N,N,N,Y,N
2248810,N,N,N,Y,N
2280715,Y,N,Y,Y,Y
2284117,Y,N,Y,Y,Y
2346163,Y,N,Y,Y,Y
311958,Y,N,Y,Y,Y
449280,Y,N,Y,Y,Y
658882,N,N,N,Y,N
133759,N,N,N,Y,N
1863297,Y,N,Y,Y,Y
1886067,Y,N,Y,Y,Y
2123972,N,N,N,Y,N
2160052,Y,N,Y,Y,Y
2188061,Y,N,Y,Y,Y
2221982,N,N,N,N,N
2231945,Y,N,Y,Y,Y
2323105,Y,N,Y,Y,Y
2347712,Y,N,Y,Y,Y
449281,Y,N,Y,Y,Y
638830,Y,N,Y,Y,Y
657659,N,N,N,Y,N
133804,N,N,N,Y,N
1668826,N,N,N,Y,N
1882215,Y,N,Y,Y,Y
2195514,N,N,N,Y,N
2226889,N,N,N,Y,N
2324781,Y,N,Y,Y,Y
2346165,N,N,N,Y,N
306785,N,N,N,Y,N
48081,Y,N,Y,Y,Y
486137,N,N,N,Y,N
82425,N,N,N,Y,N
1668827,N,N,N,Y,N
2136781,Y,N,Y,Y,Y
2253051,N,N,N,Y,N
2285344,Y,N,Y,Y,Y
2342764,Y,N,Y,Y,Y
1668828,N,N,N,Y,N
1768296,Y,N,Y,Y,Y
1882217,Y,N,Y,Y,Y
2057645,Y,N,Y,Y,Y
2111897,Y,N,Y,Y,Y
2146583,Y,N,Y,Y,Y
2174861,Y,N,Y,Y,Y
2253052,N,N,N,Y,N
2314982,Y,N,Y,Y,Y
2333242,Y,N,Y,Y,Y
458400,N,N,N,Y,N
597451,Y,N,Y,Y,Y
64607,N,N,N,Y,N
122340,N,N,N,Y,N
133807,N,N,N,Y,N
1668829,N,N,N,Y,N
1768297,Y,N,Y,Y,Y
1837506,N,N,N,Y,N
1965414,N,N,N,Y,N
2182999,Y,N,Y,Y,Y
2253053,N,N,N,Y,N
2333694,Y,N,Y,Y,Y
2341875,Y,N,Y,Y,Y
306788,N,N,N,Y,N
458401,N,N,N,Y,N
467429,N,N,N,N,N
58047,N,N,N,Y,N
659327,N,N,N,Y,N
72960,N,N,N,Y,N
1837507,N,N,N,Y,N
2017830,N,N,N,Y,N
2350786,N,N,N,Y,N
316021,N,N,N,Y,N
369302,Y,N,Y,Y,Y
58048,N,N,N,Y,N
659328,N,N,N,Y,N
77254,N,N,N,Y,N
133809,N,N,N,Y,N
152691,N,N,N,Y,N
1768299,Y,N,Y,Y,Y
1837508,N,N,N,Y,N
1842692,Y,N,Y,Y,Y
2026903,Y,N,Y,Y,Y
2288516,Y,N,Y,Y,Y
2302951,Y,N,Y,Y,Y
2350787,N,N,N,Y,N
2351560,Y,N,Y,Y,Y
333726,Y,N,Y,Y,Y
512493,N,N,N,Y,N
659329,N,N,N,Y,N
1837509,N,N,N,Y,N
2203394,Y,N,Y,Y,Y
2324336,Y,N,Y,Y,Y
2343993,Y,N,Y,Y,Y
2351561,Y,N,Y,Y,Y
316023,N,N,N,Y,N
44234,N,N,N,Y,N
483514,Y,N,Y,Y,Y
604267,Y,N,Y,Y,Y
115667,N,N,N,Y,N
149129,N,N,N,Y,N
2145903,Y,N,Y,Y,Y
2213402,Y,N,Y,Y,Y
2223203,Y,N,Y,Y,Y
2330123,Y,N,Y,Y,Y
316024,N,N,N,Y,N
39673,N,N,N,Y,N
44235,Y,N,Y,Y,Y
111653,Y,N,Y,Y,Y
156591,N,N,N,Y,N
1680901,N,N,N,Y,N
2065101,N,N,N,Y,N
2128651,N,N,N,Y,N
2301450,N,N,N,Y,N
2333248,Y,N,Y,Y,Y
343863,N,N,N,Y,N
492426,Y,N,Y,Y,Y
602982,N,N,N,Y,N
2224385,N,N,N,Y,N
2224880,Y,N,Y,Y,Y
318303,N,N,N,Y,N
60275,N,N,N,Y,N
602983,N,N,N,Y,N
658162,N,N,N,Y,N
79987,N,N,N,Y,N
2122479,Y,N,Y,Y,Y
2208681,N,N,N,Y,N
2224386,N,N,N,Y,N
2318931,Y,N,Y,Y,Y
2325564,Y,N,Y,Y,Y
2349063,Y,N,Y,Y,Y
562493,Y,N,Y,Y,Y
602984,N,N,N,Y,N
658820,N,N,N,Y,N
1687268,Y,N,Y,Y,Y
1770076,Y,N,Y,Y,Y
1876493,Y,N,Y,Y,Y
2109943,N,N,N,Y,N
2128654,N,N,N,Y,N
2140344,N,N,N,Y,N
2240631,Y,N,Y,Y,Y
2309365,Y,N,Y,Y,Y
2319661,Y,N,Y,Y,Y
2336301,Y,N,Y,Y,Y
